RUN : 1 - instancias_txt/SSP-NPM-II/ins481_m=6_j=80_t=120_sw=l_dens=s_var=1.txt

- MACHINE [0]

1 0 0 
0 0 0 
0 0 0 
0 0 1 
0 0 0 
0 0 0 
0 0 0 
1 1 0 
1 0 0 
0 0 0 
0 0 0 
1 1 1 
0 0 0 
1 0 0 
0 1 1 
1 0 1 
1 0 0 
0 0 0 
0 1 0 
0 0 0 
0 0 0 
0 0 0 
1 0 0 
0 0 1 
0 0 0 
0 0 0 
1 0 0 
0 0 1 
0 0 0 
0 0 0 
0 1 0 
0 0 0 
0 0 0 
0 1 0 
0 1 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
1 0 0 
0 0 0 
0 0 1 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 1 
0 0 0 
0 0 0 
1 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 1 
0 0 0 
1 0 1 
1 1 1 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 1 0 
0 0 0 
0 1 1 
0 0 0 
0 1 1 
0 0 0 
0 1 0 
0 0 0 
0 1 1 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
1 0 0 
0 0 1 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 1 
0 1 1 
0 0 0 
0 0 0 
0 0 0 
0 0 1 
0 1 0 
0 0 0 
0 0 0 
1 0 1 
0 0 0 
1 0 0 
1 0 1 
0 0 0 
0 0 1 
1 0 1 
0 0 0 
0 1 0 
0 0 0 
0 0 0 
0 0 0 
0 1 0 
0 0 0 
0 1 0 

JOBS [3] - [19, 72, 21]
TOOL SWITCHES : 0
MAKESPAN : 18

- MACHINE [1]

0 0 0 
0 0 0 
0 0 0 
0 0 0 
1 0 0 
0 0 0 
0 1 0 
0 0 0 
0 0 0 
1 0 1 
0 0 0 
0 0 0 
0 0 1 
0 1 1 
0 0 0 
0 0 0 
1 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 1 0 
0 0 1 
0 0 0 
1 0 0 
0 0 0 
0 0 0 
0 1 0 
0 0 0 
0 0 0 
0 0 0 
0 0 1 
0 0 0 
0 1 1 
1 0 1 
0 0 1 
0 1 0 
0 0 0 
1 0 1 
1 0 0 
0 1 0 
1 0 1 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 1 
0 0 0 
0 0 0 
0 0 0 
1 0 0 
0 0 1 
0 0 0 
1 0 0 
0 0 1 
0 1 0 
1 1 1 
0 1 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 1 0 
0 0 0 
0 0 0 
0 1 0 
0 1 0 
0 1 0 
0 1 0 
1 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 1 
0 1 0 
1 1 0 
0 0 1 
0 0 0 
0 0 1 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 1 
0 0 0 
1 0 0 
0 1 0 
0 0 0 
1 0 1 
1 0 0 
0 0 0 
0 1 1 
0 0 0 
0 0 0 
1 0 0 
0 0 0 
1 0 0 
0 0 0 
0 1 0 
0 0 0 
0 0 0 
0 0 1 
0 0 0 
0 1 0 
0 0 0 
0 0 0 
0 1 0 
1 0 1 

JOBS [3] - [15, 32, 74]
TOOL SWITCHES : 1
MAKESPAN : 20

- MACHINE [2]

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 
1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 
0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 
1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 
0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 
0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 
0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 
0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 
0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 
1 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
